Joint Auction,Quarter Year,Current Auction Settlement Price,Auction Reserve Price
Joint Auction 1,Q4 2014,$12.10 ,$11.34 
Joint Auction 2,Q1 2015,$12.21 ,$12.10 
Joint Auction 3,Q2 2015,$12.29 ,$12.10 
Joint Auction 4,Q3 2015,$12.52 ,$12.10 
Joint Auction 5,Q4 2015,$12.73 ,$12.10 
Joint Auction 6,Q1 2016,$12.73 ,$12.73 
Joint Auction 7,Q2 2016,$12.73 ,$12.73 
Joint Auction 8,Q3 2016,$12.73 ,$12.73 
Joint Auction 9,Q4 2016,$12.73 ,$12.73 
Joint Auction 10,Q1 2017,$13.57 ,$13.57 
Joint Auction 11,Q2 2017,$13.80 ,$13.57 
Joint Auction 12,Q3 2017,$14.75 ,$13.57 
Joint Auction 13,Q4 2017,$15.06 ,$13.57 
Joint Auction 14,Q1 2018,$14.61 ,$14.53 
Joint Auction 15,Q2 2018,$14.65 ,$14.53 
Joint Auction 16,Q3 2018,$15.05 ,$14.53 
Joint Auction 17,Q4 2018,$15.31 ,$14.53 
Joint Auction 18,Q1 2019,$15.73 ,$15.62 
Joint Auction 19,Q2 2019,$17.45 ,$15.62 
Joint Auction 20,Q3 2019,$17.16 ,$15.62 
Joint Auction 21,Q4 2019,$17.00 ,$15.62 
Joint Auction 22,Q1 2020,$17.87 ,$16.68 
Joint Auction 23,Q2 2020,$16.68 ,$16.68 
Joint Auction 24,Q3 2020,$16.68 ,$16.68 
Joint Auction 25,Q4 2020,$16.93 ,$16.68 
Joint Auction 26,Q1 2021,$17.80 ,$17.71 
Joint Auction 27,Q2 2021,$18.80 ,$17.71 
Joint Auction 28,Q3 2021,$23.30 ,$17.71 
Joint Auction 29,Q4 2021,$28.26 ,$17.71 
Joint Auction 30,Q1 2022,$29.15 ,$19.70 
Joint Auction 31,Q2 2022,$30.85 ,$19.70 
Joint Auction 32,Q3 2022,$27.00 ,$19.70 
Joint Auction 33,Q4 2022,$26.80 ,$19.70 
Joint Auction 34,Q1 2023,$27.85 ,$22.21 
Joint Auction 35,Q2 2023,$30.33 ,$22.21 
Joint Auction 36,Q3 2023,$35.20 ,$22.21 
Joint Auction 37,Q4 2023,$38.73 ,$22.21 
Joint Auction 38,Q1 2024,$41.76 ,$24.04 
Joint Auction 39,Q2 2024,$37.02 ,$24.04 
Joint Auction 40,Q3 2024,$30.24 ,$24.04 
Joint Auction 41,Q4 2024,$31.91 ,$24.04 
Joint Auction 42,Q1 2025,$29.27 ,$25.87 
Joint Auction 43,Q2 2025,$25.87 ,$25.87 
Joint Auction 44,Q3 2025,$28.76 ,$25.87 
Joint Auction 45,Q4 2025,$28.32 ,$25.87 
